2330-台積電,2317-鴻海,2454-聯發科,2308-台達電,2382-廣達,"2891-中信金",2881-富邦金,2882-國泰金,3711-日月光投控,2303-聯電
40.9,685,198.5,1155.38,253.5,1360,84.68,63.5,42,157
40.9,680,200.5,1155.38,253.5,1395,83.9,63.5,41.9,157
42,691,203,1155.38,257,1385,84.39,64.1,41.9,154
41.2,726,205,1175.3,258.5,1435,84.88,64.6,41.85,156
41.6,726,203.5,1175.3,260,1430,83.9,63.8,41.75,171.5
41.45,784,207.5,1195.22,262.5,1510,84.29,64.1,42,167
41.25,837,210,1220.12,273,1490,85.46,64.9,42.05,169
40.9,831,214.5,1235.06,270,1480,84.78,64.4,42.25,166.5
41.15,837,217.5,1254.98,274,1485,86.34,65.5,42.8,167
41.1,836,216,1250,276,1485,86.63,65.4,43.15,166.5
41.05,841,215.5,1280,273.5,1535,86.63,66.1,43.45,169.5
41.45,836,212,1265,273,1510,86.54,65.7,43.1,169
41.8,892,215,1285,279.5,1510,86.15,65,43.15,170
43.25,888,214,1265,281,1440,85.66,65.5,43.65,170
43.05,907,216,1295,281,1405,86.44,66,43.2,172.5
43.9,893,221,1340,286.5,1375,86.24,66.2,43.25,174.5
44.85,891,223,1340,283.5,1330,86.83,66,43.15,172
44.3,884,230,1320,285,1345,86,65.7,42.5,172
44.85,848,219.5,1300,285,1310,86.5,65.1,42.6,165.5
45.55,854,216,1305,290,1315,88.3,65.6,42.9,164
44.25,871,219,1325,286.5,1285,87.4,65.3,43.05,163
43.8,894,225.5,1365,294,1280,87.4,65,42.95,164.5
43.85,942,226.5,1400,300,1320,86.5,65,42.35,165.5
44.3,987,228.5,1435,308.5,1325,86.9,65.2,42.25,173.5
44.95,981,225,1415,306,1335,87.9,65.3,42.5,174.5
45.65,999,221.5,1440,298,1345,89.8,66.4,42.6,179
45.45,1030,213,1415,294.5,1315,87.8,65.3,42.15,173
44.85,992,206,1425,284,1305,88.2,65.5,42.35,169.5
44.5,1015,206.5,1465,286,1315,89.6,66.4,42.6,178
44.9,1025,223,1485,291.5,1330,89.8,65.8,42.6,191.5
45.75,999,226.5,1450,288.5,1330,89.5,65.2,42.5,196
46.1,1015,238.5,1480,296.5,1340,89.1,65.3,42.4,200
